,title,author,year,venue,abstract,container_type,gsrank,num_citations
517,Evaluating data distribution and drift vulnerabilities of machine learning algorithms in secure and adversarial environments,"['K Nelson', 'G Corbin', 'M Blowers']",2014,Machine Intelligence and Bio …,"This paper discusses the risks involved with utilizing ML in an adversarial environment, such  as intrusion detection, and presents an  Intrusion detection systems Of the several adversarial  environments where we find ML used, the IDS is the most exciting and undergoing the",Publication,518,2
518,An Unsupervised Learning Approach for In-Vehicle Network Intrusion Detection,['N Leslie'],2021,2021 55th Annual Conference on Information …,In-vehicle networks remain largely unprotected from a myriad of vulnerabilities to  failures caused by adversarial activities. Remote attacks on the SAE J1939 protocol based on  controller access network (CAN) bus for heavy-duty ground vehicles can lead to detectable,Publication,519,0
519,REVIEW ON INTRUSION DETECTION SYSTEM BASED METHODS ON KNOWLEDGE DISCOVERY DATA (KDD) DATASET,"['R Mathiyalagan', 'PV Eric']",2020,CR,"Early prevention of breach into security systems, Intrusion detection(ID) provides a valuable  protection and intrusion detection system provides an added advantage of by decreasing the  human resources required for keeping monitoring on the intruders, improving the efficiency",Publication,520,1
520,A Comprehensive Data Sampling Analysis Applied to the Classification of Rare IoT Network Intrusion Types,"['S Sapre', 'K Islam', 'P Ahmadi']",2021,2021 IEEE 18th Annual …,"In this study, various data sampling and class balancing techniques—Generative  Adversarial Network (GAN)-based oversampling, -nearest- The crux of this problem lies in  intrusion detection systems’ (IDSs’) inability to properly identify rarer attack types. In the NSL-KDD",Publication,521,0
521,Toward supervised anomaly detection,"['N Görnitz', 'M Kloft', 'K Rieck', 'U Brefeld']",2013,Journal of Artificial Intelligence …,"learning strategy to automatically filter candidates for labeling. In an empirical study on network  intrusion detection data, we observe that the proposed learning  Especially in adversarial  application areas such as network intrusion detection, even a single undetected outlier may",Publication,522,292
522,Thutmose-Investigation of Machine Learning-Based Intrusion Detection Systems,"['M Anania', 'G Corbin', 'M Kovacs', 'K Nelson', 'J Tobias']",2016,NA,The results of this work provide deep insight into the strengths and weaknesses of the studied  learning systems while operating within an adversarial environment. This insight will enable  the design and development of future machine learning-based intrusion detection systems,Publication,523,0
523,Adversarial Example Attack Analysis of Low-Dimensional Industrial Control Network System Dataset,"['Z Wen', 'Z Shikun', 'D Yong', 'C Xi']",2020,Journal of Computer Research and …,"exampleattacksare hinderingthe widespread application of machinelearning models.Existing  researches on adversarial example attacks focused on featureGrich∕highGdimensional  datasets. However,duetotherelativelyfixednetworktopologyoftheindustrialcontrolnetworksystem",Publication,524,0
524,"From intrusion detection to an intrusion response system: fundamentals, requirements, and future directions","['S Anwar', 'J Mohamad Zain', 'MF Zolkipli', 'Z Inayat']",2017,Algorithms,"By contrast, attacks can be said to be adversarial intrusions against IDS or simply a set of actions  that violate the security policies associated with the IDS itself [5,6]. Despite the development  of several defensive techniques such as cryptography, firewalls, and access control for",Publication,525,117
525,TLP-IDS: A Two-layer Intrusion Detection System for Integrated Electronic Systems,"['X Liu', 'D He', 'Y Gao', 'S Zhu']",2020,… Symposium on Reliable …,"If an attacker knows the predictive algorithm and also has a large amount of training data,  he may generate adversarial attack data that would bypass our data detection algorithm. It  is a common shortcoming of predictive detection methods. How to detect such",Publication,526,0
526,Integrating Adversary Models and Intrusion Detection Systems for In-vehicle Networks in CANoe.,"['C Jichici', 'B Groza', 'PS Murvay']",2019,SECITC,"We complement these ideas by integrating intrusion detection along with the adversarial  model in CANoe. Thus, our work aims to provide a more complex framework based on the  support from two widely-used tools in the automotive-industry, CANoe and Matlab, in order to",Publication,527,1
527,Data preprocessing for anomaly based network intrusion detection: A review,"['JJ Davis', 'AJ Clark']",2011,computers & security,"This paper reviews the data preprocessing techniques used by anomaly-based network  intrusion detection systems (NIDS), concentrating on which aspects of the network traffic are  analyzed, and what feature construction and selection methods have been used. Motivation for",Publication,528,306
528,Web anomaly misuse intrusion detection framework for SQL injection detection,"['SE Salama', 'MI Marie', 'LM El-Fangary', 'YK Helmy']",2012,Editorial Preface,"One mechanism to defend against web attacks is to use intrusion detection systems (IDS)  and especially network intrusion detection systems ( , exec, order by and their hexadecimal  representation in order to prevent the different evasion techniques [31]. The important step in the",Publication,529,25
529,False alarm minimization techniques in signature-based intrusion detection systems: A survey,"['N Hubballi', 'V Suryanarayanan']",2014,Computer Communications,Capabilities are the generalized templates rather than individual attack models. They  accumulate the symptoms of the attack rather than the attack itself. Concept is a subtask in  an attack and there are requirements that must be satisfied for an attack to be detected.,Publication,530,147
530,Convolutional neural networks for multi-class intrusion detection system,"['S Potluri', 'S Ahmed', 'C Diedrich']",2018,International Conference on Mining …,"To counter fight with imbalanced datasets and train network efficiently for all attack types,  Generative Adversarial Networks (cGAN). We also consider simulating our own dataset in the  context of ICS for more precise application specific development. As MATLAB supports, real",Publication,531,48
531,"Federated Learning for Intrusion Detection System: Concepts, Challenges and Future Directions","['S Agrawal', 'S Sarkar', 'O Aouedi', 'G Yenduri']",2021,arXiv preprint arXiv …,"In section II we give a summary of IDS, as well as the role of machine learning and artificial  intelligence (ML/AI) in anomaly intrusion detection. The  Generative adversarial networks for  distributed intrusion detection in the internet of things. In 2019 IEEE Global Communications",Publication,532,1
532,The use of ensemble models for multiple class and binary class classification for improving intrusion detection systems,"['C Iwendi', 'S Khan', 'JH Anajemba', 'M Mittal', 'M Alenezi']",2020,Sensors,"The adversarial learning method can be used to explore the spatial distribution of ICVAE latent  variables to better reconstruct input  a machine learning based intrusion detection system  has been proposed. During experimentation, various ensemble machine learning algorithms",Publication,533,31
533,Intrusion detection for in-vehicle communication networks: An unsupervised kohonen som approach,"['VS Barletta', 'D Caivano', 'A Nannavecchia', 'M Scalera']",2020,Future Internet,"packets [35]; the long short-term memory neural network to detect CAN bus attacks [36];  Convolutional Neural Networks (CNNs) to classify malware samples [37]; and Generative  Adversarial Networks to generate the adversarial attacks, which can deceive and evade the",Publication,534,10
534,Intrusion detection and prevention for ZigBee-based home area networks in smart grids,"['P Jokar', 'VCM Leung']",2016,IEEE Transactions on Smart Grid,"While [5] only targeted the area of intrusion detection, here we introduce an algorithm which  not only is able to detect various attack types but  In Section VII we provide a discussion on  performance of HANIDPS against evasion techniques and Section VIII concludes the paper.",Publication,535,50
535,Application of deep learning architectures for cyber security,"['R Vinayakumar', 'KP Soman', 'P Poornachandran']",2019,… and Secure Information …,"robust in an adversarial environment in compared to classical machine learning algorithms.  This  intrusion detection, traffic analysis and Android malware detection cyber security use  cases are considered. In intrusion detection, the performance of classical machine learning",Publication,536,10
536,Examining the security of ddos detection systems in software defined networks,"['A Abusnaina', 'DH Nyang', 'M Yuksel']",2019,Proceedings of the 15th …,"Then, we propose Flow-Merge for realistic adversarial flows while achieving a high evasion  rate. The evaluation shows that the proposed  In this study, we utilize five adversarial attack  algorithms: Carlini & Wanger (C&W), ElasticNet, DeepFool, Momentum Iterative Method (MIM)",Publication,537,2
537,Robustness of Autoencoders for Anomaly Detection Under Adversarial Impact.,"['A Goodge', 'B Hooi', 'SK Ng', 'WS Ng']",2020,IJCAI,"In this work, we study the effect of adversarial attacks on the performance of anomalydetecting  autoencoders using real data from a Cyber  HIDE: a hierarchical network intrusion detection  system using statistical preprocessing and neural network classification. In Proc. IEEE",Publication,538,3
538,Anti-html Evasion in Intrusion Prevention System,"['F Dong', 'J Liu', 'L Gu', 'M Ma']",2020,… on Internet of Things (iThings) and …,"In this work, we propose, AHE, a novel hybrid approach to anti-html evasion in IPS. AHE  combines machine learning and anomaly  Almost all attacNers will use evasion techniques to  disguise attacNs to bypass IPS, because various evasion techniques have been integrated into",Publication,539,0
539,A Two-Step Network Intrusion Detection System for Multi-Class Classification,"['G Andresini', 'A Appice', 'D Malerba']",2021,NA,"relevant approach to learn signs of malicious activity [1, 2, 3, 4, 5]. In this study, we illustrate a  two-step network intrusion detection system that first  may be reached in the future by injecting  Generative Adversarial Learning mechanisms into multi-class network intrusion detection.",Publication,540,0
540,Intrusion Detection in Software Defined Network Using Deep Learning Approach,"['B Susilo', 'RF Sari']",2021,2021 IEEE 11th Annual Computing and …,"The authors in [18] was developed an anomaly-based NIDS for SDNs that provide a target  for adversarial attack experimentation.  machine learning or deep learning and, after that,  implement the algorithm that has been developed into the Network Intrusion Detection System.",Publication,541,1
541,Detecting false data attacks using machine learning techniques in smart grid: A survey,"['L Cui', 'Y Qu', 'L Gao', 'G Xie', 'S Yu']",2020,Journal of Network and Computer …,"Specifically, we discuss intrusion detection against adversarial attacks, collaborative and  decentralized detection framework, detection  Preliminary solutions: As summarized above,  several DL-based techniques have been developed for intrusion detection in SG applications,",Publication,542,25
542,Adversarial machine learning for text,"['D Lee', 'R Verma']",2020,Proceedings of the Sixth International Workshop on …,"to filter out spam emails in 2004, researchers have been showing how machine learning  models can  learning, the adversarial machine learning field also received significant attention.  The goal of adversarial machine learning is to investigate the robustness of machine learning",Publication,543,2
543,Approaches for preventing honeypot detection and compromise,"['M Tsikerdekis', 'S Zeadally']",2018,2018 Global …,"a remote attacker (eg, Secure Shell (SSH) credentials), intrusion detection systems that are  often placed near the edge router of a network are  We argue that by leveraging AI or machine  learning (including adversarial machine learning) [26] we can make the next generation of",Publication,544,20
544,Feature Weighting and Classification Modeling for Network Intrusion Detection Using Machine Learning Algorithms,"['OJ Mebawondu', 'AO Adetunmbi']",2020,… on Information and …,"various preventive security measures, hence the need to study ways to detect and minimize  attackers’ activities. This paper develops a Network-Based Intrusion Detection System  (NBIDS) using the machine learning algorithms capable of detecting and preventing anomaly (",Publication,545,0
545,Improving intrusion detectors by crook-sourcing,"['F Araujo', 'G Ayoade', 'K Al-Naami', 'Y Gao']",2019,Proceedings of the 35th …,"Rather than aborting attacks against legitimate services, adversarial interactions are  selectively prolonged to maximize the defender’s  Toward this end, our work extends machine  learning-based intrusion detection with the capability to effectively detect malicious activities",Publication,546,7
546,Provenance-based intrusion detection: opportunities and challenges,"['X Han', 'T Pasquier', 'M Seltzer']",2018,10th {USENIX} Workshop on the Theory …,"Provenance graph analysis strengthens adversarial robustness, because the graphs exhibit  long-range correlations  In prior work [8], we reduced a host-based intrusion detection problem  to a graphbased anomaly detection problem, in which graph analysis identified structured",Publication,547,27
547,Generating Adversarial Network Traffic Flows with GANs,['BE Zolbayar'],2020,NA,"Network intrusion detection systems (NIDS) are a critical part of computer networks  for defending against cyber attacks. As machine learning (ML) algorithms become  unprecedentedly powerful, they are also used in modern NIDS to reduce false alarms, increase",Publication,548,0
548,Adversarial Network Traffic: Towards Evaluating the Robustness of Deep Learning-Based Network Traffic Classification,"['A Mahdi Sadeghzadeh', 'S Shiravi', 'R Jalili']",2020,arXiv e-prints,"Network traffic classification is used in various applications such as network traffic  management, policy enforcement, and intrusion detection systems. Although most applications  encrypt their network traffic and some of them dynamically change their port numbers, Machine",Publication,549,0
549,A decision support system for placement of intrusion detection and prevention devices in large-scale networks,"['R Puzis', 'M Tubi', 'Y Elovici', 'C Glezer']",2011,ACM Transactions on …,"We simulate the ability of threats to avoid being intercepted by specifying an evasion factor  for each attack class. Prior to using PIDPS for evaluation of DNIDS deployment effectiveness,  the DNIDS should be evaluated in laboratory environment in order to obtain MT, BT, attack",Publication,550,19
550,Secure learning in adversarial environments,['B Li'],2016,NA,"such as intrusion detection, virus detection, biometric identity recognition, and spam filtering.  However, strengths of such learning systems of traditional machine learning are based on the  distributional stationarity assumption, and can become their vulnerabilities when there are",Publication,551,1
551,A training-resistant anomaly detection system,"['S Muller', 'J Lancrenon', 'C Harpes', 'Y Le Traon']",2018,Computers & …,"with the learning process, and teach the intrusion detection system to accept dangerous traffic.  This paper presents an intrusion detection  on a concrete example of an evasion technique  that may be used by an advanced persistent threat, namely the training attack. To the best",Publication,552,13
552,Network traffic anomaly detection using PCA and BiGAN,"['R Patil', 'R Biradar', 'V Ravi', 'P Biradar']",2020,Internet Technology …,"generative adversarial networks (BiGAN)10 for network anomaly detection. BiGANs provide  an unsupervised feature learning framework.  It consists of intrusion detection data, where  data is either classified as normal or as an attack. Different types of attacks recorded in this",Publication,553,1
553,An intrusion detection system based on convolutional neural network,['P Liu'],2019,Proceedings of the 2019 11th International Conference …,"To reduce the high FAR and improve the accuracy of intrusion detection, this paper  proposed an anomaly-based detection model to detect network by training a CNN model  using KDD99 dataset, which can extract signatures more quickly and precisely. While",Publication,554,11
554,HMMPayl: An intrusion detection system based on Hidden Markov Models,"['D Ariu', 'R Tronci', 'G Giacinto']",2011,computers & security,"Because it is of no interest to evaluate the performance of an Intrusion Detection System when  a high number of false alarms are generated,  However, the measure of the trade-off between  detection accuracy, difficulty of evasion, and computational cost is out of the scope of this",Publication,555,139
555,Variational data generative model for intrusion detection,"['M Lopez-Martin', 'B Carro']",2019,… and Information Systems,"To appreciate the complex and unclear relationship between the distributions of values of  a high-dimensional sample with the label associated with that sample, we could consider the  difficulties imposed by adversarial examples [5] to a neural network and how the addition of",Publication,556,18
556,Review of existing data sets for network intrusion detection system,"['J Verma', 'A Bhandari', 'G Singh']",2020,Advances in …,"involves keeping check on evasion techniques, sending fragmented packets to keep the  attacker under radar, avoid-ing default port to avoid port-by-attacker reconfiguration, organizing  a search among attackers, address spoofing and server proxy, and Pattern change evasion",Publication,557,6
557,Non-Exhaustive Learning Using Gaussian Mixture Generative Adversarial Networks,"['J Zhuang', 'MA Hasan']",2021,Joint European Conference on Machine Learning …,"learning model, Non-exhaustive Gaussian mixture Generative Adversarial Networks (NE-GM-GAN),  which synthesizes the Bayesian method and deep learning  UNSW-NB15: a comprehensive  data set for network intrusion detection systems (UNSW-NB15 network data set). In:",Publication,558,0
558,"Applications of Machine Learning to Threat Intelligence, Intrusion Detection and Malware",['C Barker'],2020,NA,"Adversarial machine learning will also be discussed, because while ML can be used to  solve problems or reduce analyst workload, it also  Three specific problem areas within cyber  security are suited for machine learning solutions: threat intelligence, intrusion detection, and",Publication,559,0
559,Intrusion Detection Systems Based on Machine Learning Algorithms,"['SV Amanoul', 'AM Abdulazeez']",2021,… on Automatic Control …,"It uses instruments like firewalls, antivirus software and intrusion detection systems to ensure  a network protection and all its related resources in the Internet (IDS) [1]. These approaches  protect networks from both domestic and external threats. An IDS is a detect device that",Publication,560,1
560,Discriminative autoencoding framework for simple and efficient anomaly detection,"['S Mao', 'J Guo', 'Z Li']",2019,IEEE Access,"with such a simple structure, a powerful generative adversarial network is needed, and we  choose the generative adversarial network with quadratic potential for the merits  Shabtai,  ‘‘Kitsune: An ensemble of autoencoders for online network intrusion detection,’’ in Proc. Netw.",Publication,561,9
561,Bandits for cybersecurity: Adaptive intrusion detection using honeypots,"['MP Gutierrez', 'C Kiekintveld']",2016,Workshops at the Thirtieth AAAI Conference …,"Game theory provides a mathematical framework for modeling multi-agent decision  problems, including adversarial situations with deception and information manipulation. Security  games have become an important paradigm for optimally randomizing the allocation of limited",Publication,562,4
562,Representation Learning-based Network Intrusion Detection System by Capturing Explicit and Implicit Feature Interactions.,"['W Wang', 'S Jian', 'Y Tan', 'Q Wu', 'C Huang']",2021,Computers & Security,"To address these two challenges, we propose a novel Network Intrusion Detection System  which by learning explicit and implicit feature interactions based on representation learning,  ie, RL-NIDS, which models the network behaviour by learning explicit and implicit feature",Publication,563,0
563,Evading deep neural network and random forest classifiers by generating adversarial samples,"['EEB Martinez', 'B Oh', 'F Li', 'X Luo']",2018,… on Foundations and Practice of Security,"and neural networks are becoming more wide-spread in different applications or software,  such as intrusion detection applications, antivirus software and so on. Therefore, data safety  and privacy protection are increasingly reliant on these models. Deep Neural Networks (DNN)",Publication,564,2
564,BigFlow: Real-time and reliable anomaly-based intrusion detection for high-speed networks,"['E Viegas', 'A Santin', 'A Bessani', 'N Neves']",2019,Future Generation Computer …,"[54] used a subset of 20 features from [18] to address the resiliency to adversarial attacks in  a stream-based intrusion detection system for high-speed networks. BigFlow improved their  reported throughput by a factor of 9, while extracting 138 additional features and addressing",Publication,565,59
565,A Robust Deep-Learning-Enabled Trust-Boundary Protection for Adversarial Industrial IoT Environment,"['MM Hassan', 'MR Hassan', 'S Huda']",2020,IEEE Internet of …,[25] presented various adversarial attack methods against a deep learning based  intrusion-detection system in an IoT network scenario. Mahbub et al.[4] proposed various adversarial  learning models in the malware domain in the IIoT environment based on deep neural network,Publication,566,12
566,Security in Wireless Sensor Networks: Attacks and Evasion,"['SA Jilani', 'C Koner', 'S Nandi']",2020,2020 National Conference on …,"This study has evaluated the threats on WSN; the most common threats are DoS,  Intrusion  detection scheme (IDS) that also be called as Signaturebased. Most of the methods follow  three important and main phases data acquisition, Rule application and intrusion Detection",Publication,567,4
567,Sliding window optimized information entropy analysis method for intrusion detection on in-vehicle networks,"['W Wu', 'Y Huang', 'R Kurachi', 'G Zeng', 'G Xie', 'R Li']",2018,IEEE Access,"It should be emphasized that each intrusion detection method can only aim at a specific  attack model. The method proposed in this study is mainly aimed at attack models that cannot  be handled with other security enhancement methods, and it is also a common attack model in",Publication,568,46
568,Intrusion Detection for Water Distribution Systems based on an Hybrid Particle Swarm Optimization with Back Propagation Neural Network,"['OA Alimi', 'K Ouahada', 'AM Abu-Mahfouz']",2021,2021 IEEE …,Traditional intrusion detection systems (IDS) have exhibited worrying forms of limitations  and shortcomings due to the heterogeneity of different  strategy and data preprocessing  method proposed in this study improved the prediction accuracy of SWAT intrusion detection.,Publication,569,1
569,An intrusion detection method for securing in-vehicle CAN bus,"['M Gmiden', 'MH Gmiden']",2016,2016 17th International …,"If we consider the way over it the attacker could accede to the network as presented in  Figure 3, we could assume two attack models: Model1: The first adversary method is when the  attacker relies on additional external device to access to the bus. The attacker could insert the",Publication,570,60
570,"A scalable network intrusion detection system towards detecting, discovering, and learning unknown attacks","['Z Zhang', 'Y Zhang', 'D Guo', 'M Song']",2021,… Journal of Machine Learning and …,"[15] constructed CNN-based network intrusion detection system and applied generative  adversarial networks to synthesizes attack traces, and the experimental results on KDDCUP’99  dataset verify its effectiveness. Roopak et al. [16] evaluated the performances of CNN and",Publication,571,1
571,Recognize and evaluate security framework of classifier under attack,['MK Tai'],2019,Int. J. Res. Anal. Rev,"The biometric authentication, spam filtering, and network intrusion detection is an adversarial  applications. Biometric system is a tool for person identification and verification. The paper  proposed, evaluation the security of pattern classifiers that formalizes and generalizes the",Publication,572,1
572,Intrusion Detection for Industrial Control Systems by Machine Learning using Privileged Information,"['M Pordelkhaki', 'S Fouad', 'M Josephs']",2021,NA,"System (NIDS) to analyse industrial network traffic in real time for adversarial behaviour.  Machine Learning (ML) is applicable to the problem of network intrusion detection. This paper  investigates the possibility of training an ML-based NIDS for an ICS (specifically, the well-",Publication,573,0
573,Evaluation of intrusion detection systems in virtualized environments using attack injection,"['A Milenkoski', 'BD Payne', 'N Antunes', 'M Vieira']",2015,… in Intrusion Detection,We extend these attack models with a model involving different hypercall call sites.  Hypercall call sites are one of the detection-relevant properties that existing IDSes designed to  detect hypercall attacks analyze. We consider that hypercalls can be executed from regular or,Publication,574,17
574,An appraisal and design of a multi-agent system based cooperative wireless intrusion detection computational intelligence technique,"['S Shamshirband', 'NB Anuar', 'MLM Kiah']",2013,Engineering Applications of …,"Still, the approach hardly identifies unknown attacks, attacks concealed by evasion  techniques and several variants of known attacks. A number of fuzzy rule-based approaches to  detect unknown attacks are also proposed. Such techniques may unnecessarily result in issues",Publication,575,142
575,Evaluating Evasion Attack Methods on Binary Network Traffic Classifiers,"['R Shah', 'J Gaston', 'M Harvey', 'M McNamara']",2019,Proceedings of the …,"about adversarial examples in multiple domains, this paper aims to provide more evidence  about this phenomenon in machine learning, in  Dataset C is obtained from the Canadian  Institute for Cybersecurity’s 2017 traffic collection, meant for the testing of Intrusion Detection",Publication,576,2
576,Synthesizing cyber intrusion alerts using generative adversarial networks,['CR Sweet'],2019,NA,Several tools take this logging a step further and allow for real time network intrusion  detection. Network  These adversarial samples are created to avoid being flagged by Network  Intrusion Detection Systems (NIDS). Rigaki et al.[] proposed the use of GANs in generating,Publication,577,3
577,VAED: VMI‐assisted evasion detection approach for infrastructure as a service cloud,"['P Mishra', 'ES Pilli', 'V Varadharajan']",2017,Concurrency and …,"VMI-assisted evasion detection (VAED), deployed at virtual machine monitor, to detect the  evasion-based malware attacks. The VAED is based on learning the program  We surveyed  various intrusion detection approaches proposed to provide security in the cloud environment.",Publication,578,12
578,A feature selection algorithm for intrusion detection system based on pigeon inspired optimizer,"['H Alazzam', 'A Sharieh', 'KE Sabri']",2020,Expert systems with applications,"It’s used to simulate and generate both real and contemporary attack models. It is a tool  known as Tcpdump, which contains up to 100 GB of Pcap files used to simulate nine different  types of attacks. The attacks include DOS, ShellCode, Worms, Fuzzers, Backdoors, Exploits,",Publication,579,72
579,Intrusion Detection and Prevention System Using Deep Learning,"['A Krishna', 'A Lal', 'AJ Mathewkutty']",2020,… on Electronics and …,Whereby the software features compensate for the lack of precision in hardware detection  features and those software compensation features are vulnerable to evasion. An existing  neural network with excellent detection performance is used as a detector [1]. In another one,Publication,580,6
580,Cyber intrusion detection through association rule mining on multi-source logs,"['P Lou', 'G Lu', 'X Jiang', 'Z Xiao', 'J Hu', 'J Yan']",2021,Applied Intelligence,methods to solve the problem that sample labeling requires domain experts and improve the  efficiency of intrusion detection systems. Caminero [7] et al. applied adversarial reinforcement  learning to intrusion detection and proposed an intrusion detection method based on,Publication,581,1
581,Potential sensors for the forthcoming 6G/IoE-electronics and physical communication aspects,['F Al-Turjman'],2021,Mobile Networks and Applications,"To cope with this problem, authors propose a new indoor WLAN personnel intrusion detection  approach with the reduced overhead of the  data, which are generated by the Generative  Adversarial Network (GAN) based supervised learning from actual labeled RSS data. Second",Publication,582,2
582,Intelligent stealthy attack on MAODV in mobile ad hoc networks,"['AM Pushpa', 'K Kathiravan']",2014,2014 Sixth International …,"Existing Intrusion Detection Systems and attacker prevention techniques act too smart to  defend these attacking strategies. Accordingly adversaries also update their attacking strategy  intelligently to intervene the successful defending schemes. In our work, we present a novel",Publication,583,1
583,LSTM-based intrusion detection system for in-vehicle can bus communications,"['MD Hossain', 'H Inoue', 'H Ochiai', 'D Fall']",2020,IEEE …,"They discussed the connected car environment, several kinds of attack models, and  security requirements. Taylor et al. [17] engineered an IDS based on the LSTM model.  In  this study, we were able to find the best hyper-parameter values for designing an effective",Publication,584,13
584,Who is Responsible for Adversarial Defense?,"['KD Gupta', 'D Dasgupta']",2021,arXiv preprint arXiv:2106.14152,"(Paleyes et al., 2020) provide a detailed case study of an ML model deployment challenge  and also extend discussion on the adversarial challenge in ML deployment. However, this  study is also limited in terms of adversarial attacks and ignored where the adversarial attack",Publication,585,1
585,A Comparative Study on Various Intrusion Detection Techniques Using Machine Learning and Neural Network,"['V Bhatia', 'S Choudhary']",2020,2020 8th International …,Crafted inputs generated using adversarial machine learning to attack such networks can  cause severe consequences as studies show in the case of the robustness of the autonomous  vehicle. Defensive mechanisms such as feature reduction and feature options have not been,Publication,586,0
586,Parameter Optimization and Performance Analysis of State-of-the-Art Machine Learning Techniques for Intrusion Detection System (IDS),"['RN Chowdhury', 'MM Chowdhury']",2020,… on Computer and …,"bypass different defense mechanisms, ie, crafting legitimate network packet(s) using  adversarial machine learning technique, further intelligence on top of IDS has become much  desired in modern days. To combat this situation, researchers attempted utilizing a variety set of",Publication,587,0
587,Flow-based detection and proxy-based evasion of encrypted malware C2 traffic,"['C Novo', 'R Morla']",2020,Proceedings of the 13th ACM Workshop on Artificial …,"learning and evasion consequences of the gap between generated and crafted adversarial  samples. We exemplify with a deep neural network detector trained on a public C2 traffic dataset,  white-box adversarial learning,  The detector, sitting in one end of the Intrusion Detection",Publication,588,6
588,Improving Detection Rate of Rarely Appearing Unknown Attacks in Network-based Intrusion Detection System,['GP Joshi'],NA,NA,"In this work, we propose a general network intrusion detection system to address the  challenges of class imbalance datasets. The  deep adversarial learning with statistical learning  and exploiting learning-based data augmentation. Many intrusion detection systems in the",Publication,589,0
589,Simulated user bots: Real time testing of insider threat detection systems,"['P Dutta', 'G Ryan', 'A Zieba']",2018,2018 IEEE Security and …,"bugs and have sensitivities to the vagaries of human nature and adversarial behavior, requires  a formal means to continuously test and evaluate  In a live University network, we launched  a number of attacks on its intrusion detection system and showcased the ability to devise",Publication,590,6
590,Sistema di Reinforcement Learning per contrastare l'efficacia di Adversarial Attack a Intrusion Detection System,['A VENTURI'],2020,NA,La grande maggioranza dei sistemi odierni di Intrusion Detection Systems (IDS) prevede l'uso di tecniche di Machine Learning per classificare il traffico da analizzare. Questi sistemi riescono a raggiungere risultati molto buoni raggiungendo prestazioni elevate con un,Publication,591,0
591,Flow-based detection and proxy-based evasion of encrypted malware C2 traffic,"['C Novo', 'R Morla']",2020,Proceedings of the 13th ACM Workshop on Artificial …,"learning and evasion consequences of the gap between generated and crafted adversarial  samples. We exemplify with a deep neural network detector trained on a public C2 traffic dataset,  white-box adversarial learning,  The detector, sitting in one end of the Intrusion Detection",Publication,592,6
592,Improving Detection Rate of Rarely Appearing Unknown Attacks in Network-based Intrusion Detection System,['GP Joshi'],NA,NA,"In this work, we propose a general network intrusion detection system to address the  challenges of class imbalance datasets. The  deep adversarial learning with statistical learning  and exploiting learning-based data augmentation. Many intrusion detection systems in the",Publication,593,0
593,Simulated user bots: Real time testing of insider threat detection systems,"['P Dutta', 'G Ryan', 'A Zieba']",2018,2018 IEEE Security and …,"bugs and have sensitivities to the vagaries of human nature and adversarial behavior, requires  a formal means to continuously test and evaluate  In a live University network, we launched  a number of attacks on its intrusion detection system and showcased the ability to devise",Publication,594,6
594,Security of pattern recognition systems in adversarial environments,"['B Biggio', 'G Fumera', 'GL Marcialis', 'F Roli']",2012,NA,"We consider here three different application examples of our framework in spam filtering,  network intrusion detection, and biometric authentication. Our aim is to show how the designer  of a pattern classifier can use our framework, and what kind of additional information he can",Publication,595,0
595,AppCon: Mitigating Evasion Attacks to ML Cyber Detectors,"['G Apruzzese', 'M Andreolini', 'M Marchetti', 'VG Colacino']",2020,Symmetry,"In this paper, we propose AppCon, an original approach that is focused at mitigating the  impact of adversarial evasion attacks against ML-based network intrusion detection systems  (NIDS), while preserving detection performance in the absence of adversarial attacks.",Publication,596,2
596,A multiple Rényi entropy based intrusion detection system for connected vehicles,"['KS Yu', 'SH Kim', 'DW Lim', 'YS Kim']",2020,Entropy,"Additionally, two main attack models considered in this paper are explained. In Section 3,  the theoretical analysis of Rényi entropy with respect to attack rate is presented. In addition,  the proposed algorithm to measure multiple order Rényi entropies simultaneously and the",Publication,597,6
597,Machine learning based research for network intrusion detection: A state-of-the-art,"['KK Patel', 'BV Buddhadev']",2014,… of Information and Network Security (IJINS …,This paper reviews the machine learning based research carried out for network intrusion  detection to lead a secure computer and network  false alarms and analysis systems for  malicious software are often vulnerable to evasion [182]. A substantial body of previous work on,Publication,598,11
598,A Comparative Study on Contemporary Intrusion Detection Datasets for Machine Learning Research,"['S Dwibedi', 'M Pujari', 'W Sun']",2020,2020 IEEE International …,"Hence, as the future work, more research needs to be done in two directions - toward  improving the datasets in a way that they can not only enhance the quality of research but  also be used in real-life networks, and in developing mechanisms to handle the IDS evasion",Publication,599,4
599,A Deep Reinforcement Learning Approach for Anomaly Network Intrusion Detection System,"['YF Hsu', 'M Matsuoka']",2020,2020 IEEE 9th International Conference …,"In this paper, we propose a deep reinforcement learning-based (DRL) for anomaly network  intrusion detection system. Our system has the ability  An adversarial reinforcement learning  approach [4] incorporates the environmental learning process with a modified reinforcement",Publication,600,3
600,"Adversarial vs behavioural-based defensive AI with joint, continual and active learning: automated evaluation of robustness to deception, poisoning and concept drift","['A Dey', 'M Velay', 'JP Fauvelle', 'S Navers']",2020,arXiv preprint arXiv:2001.11821,"We also present preliminary work on adversarial AI conducting deception attack, which, in term,  will be used to help assess and improve  Ce type d’attaque se nomme « attaque adversaire  » (adversarial attack) et peut être automatisé via un apprentissage par renforcement [27",Publication,601,2
